idX,centerX,YearX,prec,flex,resl,team,pmat,rely,data,cplx,ruse,docu,time,stor,pvol,acap,pcap,pcon,apex,plex,ltex,tool,site,sced,Kloc+,Effort-,Defects-,Months-
17,1,1980,1,0,0,0,2,2,1,0,0,0,1,3,1,0,2,0,3,2,0,1,0,1,150.0,324.0,4868,32.5
18,1,1984,1,0,0,0,2,2,1,0,0,0,1,1,1,0,0,0,0,2,0,1,0,1,31.5,60.0,986,17.6
19,1,1983,1,0,0,0,2,2,1,0,0,0,1,1,1,0,0,0,3,2,0,1,0,1,15.0,48.0,470,13.6
20,1,1984,1,0,0,0,2,2,1,0,0,0,1,3,1,0,1,0,0,2,0,1,0,1,32.5,60.0,1276,20.8
21,2,1985,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,2,2,0,1,0,0,19.7,60.0,614,13.9
22,2,1985,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,2,2,0,1,0,0,66.6,300.0,2077,21.0
23,2,1985,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,2,2,0,1,0,0,29.5,120.0,920,16.0
24,2,1986,1,0,0,0,2,0,2,2,0,0,0,1,2,1,0,0,0,2,2,1,0,1,15.0,90.0,575,15.2
25,2,1986,1,0,0,0,2,0,2,0,0,0,1,1,2,1,0,0,0,2,2,1,0,1,38.0,210.0,1553,21.3
26,2,1986,1,0,0,0,2,2,2,2,0,0,1,1,2,1,0,0,0,2,2,1,0,1,10.0,48.0,427,12.4
27,2,1982,1,0,0,0,0,2,3,0,0,0,2,2,1,2,1,0,0,1,0,1,0,0,15.4,70.0,765,14.5
28,2,1982,1,0,0,0,0,2,3,0,0,0,2,2,1,2,1,0,0,1,0,1,0,0,48.5,239.0,2409,21.4
29,2,1982,1,0,0,0,0,2,3,0,0,0,2,2,1,2,1,0,0,1,0,1,0,0,16.3,82.0,810,14.8
29,2,1982,1,0,0,0,0,2,3,0,0,0,2,2,1,2,1,0,0,1,0,1,0,0,12.8,62.0,636,13.6
31,2,1982,1,0,0,0,0,2,3,0,0,0,2,2,1,2,1,0,0,1,0,1,0,0,32.6,170.0,1619,18.7
32,2,1982,1,0,0,0,0,2,3,0,0,0,2,2,1,2,1,0,0,1,0,1,0,0,35.5,192.0,1763,19.3
33,2,1985,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,2,2,0,1,0,0,5.5,18.0,172,9.1
34,2,1987,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,2,2,0,1,0,0,10.4,50.0,324,11.2
35,2,1987,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,2,2,0,1,0,0,14.0,60.0,437,12.4
36,2,1986,1,0,0,0,2,0,2,0,0,0,1,1,2,1,1,0,2,2,2,1,0,1,6.5,42.0,290,12.0
37,2,1986,1,0,0,0,2,2,2,0,0,0,1,1,2,1,1,0,2,2,2,1,0,1,13.0,60.0,683,14.8
38,2,1986,1,0,0,0,0,2,2,0,0,0,1,1,2,1,0,0,2,2,0,0,0,1,90.0,444.0,3343,26.7
39,2,1986,1,0,0,0,2,2,2,0,0,0,1,1,2,1,1,0,2,2,2,1,0,1,8.0,42.0,420,12.5
40,2,1986,1,0,0,0,2,2,2,0,0,0,0,1,2,1,1,0,2,2,2,1,0,1,16.0,114.0,887,16.4
41,2,1980,1,0,0,0,0,2,0,0,0,0,2,0,1,0,0,0,2,1,0,1,0,0,177.9,1248.0,7998,31.5
42,6,1975,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,2,2,2,1,0,1,302.0,2400.0,8543,38.4
43,5,1982,1,0,0,0,0,2,0,1,0,0,1,1,0,0,1,0,0,2,2,0,0,1,282.1,1368.0,9820,37.3
44,5,1982,1,0,0,0,0,0,0,1,0,0,1,1,2,0,1,0,0,2,2,1,0,1,284.7,973.0,8518,38.1
45,5,1982,1,0,0,0,2,0,0,2,0,0,1,1,1,1,0,0,0,2,0,1,0,1,79.0,400.0,2327,26.9
46,5,1977,1,0,0,0,1,1,2,2,0,0,1,1,1,0,2,0,0,2,0,1,0,1,423.0,2400.0,18447,41.9
47,5,1977,1,0,0,0,0,2,2,2,0,0,1,1,1,0,2,0,3,1,0,1,0,1,190.0,420.0,5092,30.3
48,5,1984,1,0,0,0,0,2,2,0,0,0,1,0,2,0,1,0,0,2,0,1,0,1,47.5,252.0,2007,22.3
49,5,1980,1,0,0,0,1,3,2,4,0,0,0,0,1,1,1,0,0,2,2,0,0,1,21.0,107.0,1058,21.3
50,5,1983,1,0,0,0,1,2,0,0,0,0,2,1,2,0,0,0,0,2,0,1,0,1,78.0,571.4,4815,30.5
51,5,1984,1,0,0,0,1,2,0,0,0,0,2,1,2,0,0,0,0,2,0,1,0,1,11.4,98.8,704,15.5
52,5,1985,1,0,0,0,1,2,0,0,0,0,2,1,2,0,0,0,0,2,0,1,0,1,19.3,155.0,1191,18.6
53,5,1979,1,0,0,0,1,0,2,3,0,0,0,0,1,0,1,0,2,0,0,1,0,1,101.0,750.0,4840,32.4
54,5,1979,1,0,0,0,1,0,2,0,0,0,0,0,1,1,1,0,0,2,2,1,0,1,219.0,2120.0,11761,42.8
55,5,1979,1,0,0,0,1,0,2,0,0,0,0,0,1,1,1,0,0,2,2,1,0,1,50.0,370.0,2685,25.4
56,2,1979,1,0,0,0,0,3,0,0,0,0,2,2,2,2,2,0,3,2,0,0,0,0,227.0,1181.0,6293,33.8
57,2,1977,1,0,0,0,0,2,0,3,0,0,1,1,1,0,2,0,2,1,2,1,0,0,70.0,278.0,2950,20.2
58,2,1979,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,2,2,0,1,0,0,0.9,8.4,28,4.9
59,6,1974,1,0,0,0,1,3,1,4,0,0,3,2,1,0,0,0,3,3,0,1,0,1,980.0,4560.0,50961,96.4
60,6,1975,1,0,0,0,2,2,1,0,0,0,1,1,1,2,2,0,2,0,0,1,0,1,350.0,720.0,8547,35.7
61,5,1976,1,0,0,0,0,0,2,4,0,0,0,0,1,0,1,0,2,0,0,0,0,1,70.0,458.0,2404,27.5
62,5,1979,1,0,0,0,0,0,2,4,0,0,0,0,1,0,1,0,2,0,0,0,0,1,271.0,2460.0,9308,43.4
63,5,1971,1,0,0,0,2,2,2,2,0,0,1,1,1,0,0,0,0,2,0,1,0,1,90.0,162.0,2743,25.0
64,5,1980,1,0,0,0,2,2,2,2,0,0,1,1,1,0,0,0,0,2,0,1,0,1,40.0,150.0,1219,18.9
65,5,1979,1,0,0,0,2,0,2,0,0,0,0,1,1,0,0,0,0,2,0,1,0,1,137.0,636.0,4210,32.2
66,5,1977,1,0,0,0,2,0,2,0,0,0,0,1,0,0,0,0,0,2,0,1,0,1,150.0,882.0,5848,36.2
67,5,1976,1,0,0,0,2,3,2,0,0,0,0,1,1,0,0,0,0,2,0,1,0,1,339.0,444.0,8477,45.9
68,5,1983,1,0,0,0,2,1,0,1,0,0,1,1,0,0,0,0,0,2,0,1,0,1,240.0,192.0,10313,37.1
69,5,1978,1,0,0,0,1,0,2,0,0,0,1,2,1,0,0,0,0,0,0,1,0,0,144.0,576.0,6129,28.8
70,5,1979,1,0,0,0,1,2,1,2,0,0,1,2,1,0,0,0,0,0,0,1,0,0,151.0,432.0,6136,26.2
71,5,1979,1,0,0,0,1,2,1,0,0,0,1,2,1,0,0,0,0,0,0,1,0,0,34.0,72.0,1555,16.2
72,5,1979,1,0,0,0,1,2,2,0,0,0,1,2,1,0,0,0,0,0,0,1,0,0,98.0,300.0,4907,24.4
73,5,1979,1,0,0,0,1,2,2,0,0,0,1,2,1,0,0,0,0,0,0,1,0,0,85.0,300.0,4256,23.2
74,5,1982,1,0,0,0,1,2,1,2,0,0,1,2,1,0,0,0,0,0,0,1,0,0,20.0,240.0,813,12.8
75,5,1978,1,0,0,0,1,2,1,2,0,0,1,2,1,0,0,0,0,0,0,1,0,0,111.0,600.0,4511,23.5
76,5,1978,1,0,0,0,1,0,3,0,0,0,1,2,1,0,0,0,0,0,0,1,0,0,162.0,756.0,7553,32.4
77,5,1978,1,0,0,0,1,0,0,3,0,0,1,2,1,0,0,0,0,0,0,1,0,0,352.0,1200.0,17597,42.9
78,5,1979,1,0,0,0,1,0,2,3,0,0,1,2,1,0,0,0,0,0,0,1,0,0,165.0,97.0,7867,31.5
79,5,1984,1,0,0,0,0,0,2,3,0,0,0,0,1,0,1,0,2,0,0,1,0,1,60.0,409.0,2004,24.9
80,5,1984,1,0,0,0,0,0,2,3,0,0,0,0,1,0,1,0,2,0,0,1,0,1,100.0,703.0,3340,29.6
81,2,1980,1,0,0,0,2,0,3,3,0,0,3,3,0,1,1,0,2,1,1,1,0,1,32.0,1350.0,2984,33.6
82,2,1980,1,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,1,0,1,53.0,480.0,2227,28.8
83,3,1977,1,0,0,0,0,0,1,3,0,0,2,3,1,2,2,0,3,3,3,0,0,1,41.0,599.0,1594,23.0
84,3,1977,1,0,0,0,0,0,1,3,0,0,2,3,1,2,2,0,3,3,3,0,0,1,24.0,430.0,933,19.2
85,5,1977,1,0,0,0,0,3,0,3,0,0,3,3,2,0,0,0,0,0,0,1,0,1,165.0,4178.2,6266,47.3
86,5,1977,1,0,0,0,0,3,0,3,0,0,3,3,2,0,0,0,0,0,0,1,0,1,65.0,1772.5,2468,34.5
87,5,1977,1,0,0,0,0,3,0,3,0,0,3,3,2,0,0,0,0,0,0,1,0,1,70.0,1645.9,2658,35.4
88,5,1977,1,0,0,0,0,3,0,4,0,0,3,3,2,0,0,0,0,0,0,1,0,1,50.0,1924.5,2102,34.2
89,5,1982,1,0,0,0,1,3,1,3,0,0,2,3,1,0,1,0,1,3,1,0,0,1,7.25,648.0,406,15.6
90,5,1980,1,0,0,0,0,3,0,3,0,0,3,3,2,0,0,0,0,0,0,1,0,1,233.0,8211.0,8848,53.1
91,2,1983,1,0,0,0,2,0,2,3,0,0,2,2,0,1,1,0,2,1,1,1,0,1,16.3,480.0,1253,21.5
92,2,1983,1,0,0,0,2,0,2,3,0,0,2,2,0,1,1,0,2,1,1,1,0,1,6.2,12.0,477,15.4
93,2,1983,1,0,0,0,2,0,2,3,0,0,2,2,0,1,1,0,2,1,1,1,0,1,3.0,38.0,231,12.0
