MRE-,ACC+,PRED40+,N_estimators,criterion,Min_sample_leaves,Min_impurity_decrease,Max_depth
77.7,6.32,0.0,100,2,6,3.75,1
100.0,0.0,37.5,100,0,13,3.25,13
75.0,7.14,0.0,100,1,16,4.75,11
82.13,5.0,0.0,20,2,16,7.0,10
73.51,7.6,25.0,180,1,18,8.75,3
72.31,7.97,25.0,120,1,18,2.75,2
74.91,7.17,25.0,170,1,14,10.0,2
100.0,0.0,37.5,60,0,17,9.0,5
77.85,6.28,0.0,10,1,11,3.75,2
100.0,0.0,37.5,140,0,17,1.75,13
100.0,0.0,37.5,70,0,18,4.0,7
76.46,6.7,0.0,90,1,10,2.0,7
73.03,9.6,25.0,120,2,3,2.0,1
73.36,7.65,25.0,140,2,15,0.25,15
72.76,7.83,25.0,170,1,18,3.0,1
100.0,0.0,37.5,200,0,18,0.5,15
75.25,7.07,0.0,190,1,4,6.5,17
73.25,7.68,25.0,100,2,18,7.5,19
79.66,5.74,0.0,40,1,12,3.0,13
100.0,0.0,37.5,90,0,12,5.0,15
100.0,0.0,37.5,10,0,11,5.25,7
100.0,0.0,37.5,70,0,7,5.25,2
73.32,7.66,25.0,30,2,4,6.75,7
80.04,5.62,0.0,30,2,3,5.25,5
72.2,8.01,25.0,90,1,16,8.0,10
100.0,0.0,37.5,150,0,7,4.25,12
100.0,0.0,37.5,140,0,18,4.75,14
73.46,7.61,25.0,160,2,5,8.0,5
70.23,8.62,25.0,40,2,19,3.5,15
100.0,0.0,37.5,120,0,4,7.25,3
70.13,8.65,25.0,100,1,20,3.0,6
100.0,0.0,37.5,130,0,17,8.0,14
99.74,0.07,0.0,160,0,4,2.5,5
73.89,7.48,25.0,160,2,13,2.75,15
76.45,6.7,0.0,100,1,3,4.5,11
74.95,7.16,25.0,200,2,12,0.75,16
73.88,7.49,25.0,180,2,13,1.0,12
76.75,6.61,0.0,30,2,9,9.75,6
72.86,7.8,25.0,40,1,6,2.5,16
73.43,7.62,25.0,140,2,6,7.0,3
73.76,7.52,25.0,60,1,2,6.0,12
100.0,0.0,37.5,80,0,3,8.5,12
74.78,7.21,25.0,160,2,18,5.75,10
100.0,0.0,37.5,120,0,19,2.5,17
100.0,0.0,37.5,180,0,10,1.5,9
75.35,5.85,0.0,140,2,6,1.25,5
73.0,7.76,25.0,150,2,13,6.25,5
100.0,0.0,37.5,110,0,12,4.75,17
99.68,0.09,0.0,130,0,9,9.75,8
72.2,8.01,25.0,190,1,11,7.25,4
100.0,0.0,37.5,40,0,7,6.25,2
100.0,0.0,37.5,30,0,20,4.5,20
100.0,0.0,37.5,30,0,13,9.5,13
71.82,8.13,25.0,80,1,20,6.25,5
99.62,0.1,0.0,110,0,10,4.5,15
78.07,6.21,0.0,20,1,13,0.0,2
76.32,6.74,0.0,40,2,5,4.75,19
100.0,0.0,37.5,20,0,5,3.0,9
75.31,7.05,0.0,100,2,16,7.25,6
73.0,8.96,25.0,80,2,2,4.5,15
81.14,5.3,0.0,10,2,14,1.25,18
64.18,33.03,37.5,50,2,1,2.0,14
74.78,7.21,25.0,60,2,16,0.0,20
73.29,7.67,25.0,150,1,20,1.75,5
72.93,7.78,25.0,110,2,9,1.5,4
62.28,11.18,25.0,20,2,9,8.25,18
100.0,0.0,37.5,10,0,5,7.5,18
75.46,7.0,0.0,170,2,20,9.25,13
99.62,0.1,0.0,110,0,11,5.25,20
73.23,7.69,25.0,130,1,15,9.25,11
69.69,8.79,25.0,50,1,2,9.75,5
75.88,6.88,0.0,10,2,10,6.75,2
67.44,6.97,25.0,30,2,3,1.25,8
71.45,8.24,25.0,170,2,13,0.0,7
72.82,7.81,25.0,170,1,8,3.5,15
73.87,7.49,25.0,150,1,12,7.75,9
100.0,0.0,37.5,150,0,4,1.25,2
100.0,0.0,37.5,90,0,18,5.5,5
73.86,7.49,25.0,140,1,2,8.75,17
99.17,0.22,0.0,50,0,15,0.0,11
74.76,7.22,25.0,110,1,2,8.75,18
73.6,7.57,25.0,160,1,12,8.5,3
76.73,7.73,0.0,80,2,4,2.5,13
100.0,0.0,37.5,120,0,12,7.5,13
73.4,7.64,25.0,130,1,15,9.0,15
100.0,0.0,37.5,30,0,10,4.75,8
72.2,8.01,25.0,90,1,10,7.75,15
72.87,7.8,25.0,130,2,4,6.0,16
72.68,7.86,25.0,70,1,12,4.5,15
77.63,6.34,0.0,20,2,13,3.75,10
75.82,4.61,12.5,30,2,4,2.5,14
72.06,8.43,25.0,110,2,6,1.25,11
76.67,10.15,0.0,170,2,1,3.5,13
72.43,7.94,25.0,150,2,10,8.5,18
77.66,6.34,0.0,90,2,3,6.75,9
100.0,0.0,37.5,140,0,6,1.5,4
74.93,7.16,25.0,200,1,6,9.25,2
72.41,7.94,25.0,110,1,19,0.5,15
72.56,7.9,25.0,140,1,15,6.0,20
74.35,7.34,25.0,190,2,17,7.25,15
99.58,0.11,0.0,100,0,13,7.0,15
75.91,6.87,0.0,70,1,15,4.25,3
100.0,0.0,37.5,120,0,16,4.75,19
100.0,0.0,37.5,130,0,14,9.75,10
73.56,7.59,25.0,120,1,19,0.25,10
70.96,8.39,25.0,150,2,10,4.5,2
73.75,7.53,25.0,130,1,4,2.0,7
100.0,0.0,37.5,30,0,20,0.25,9
76.0,6.84,12.5,20,1,3,1.0,17
78.22,6.17,0.0,30,2,15,4.0,12
75.69,6.93,0.0,60,1,15,5.25,17
73.14,7.72,25.0,40,1,1,7.0,17
71.78,8.14,25.0,180,1,8,4.25,20
100.0,0.0,37.5,120,0,20,9.75,2
72.48,7.92,25.0,140,1,8,1.25,9
100.0,0.0,37.5,50,0,20,4.25,2
73.9,7.48,25.0,90,1,6,7.75,2
100.0,0.0,37.5,70,0,18,7.25,4
74.85,7.19,25.0,60,1,20,7.25,2
73.79,7.51,25.0,20,2,2,9.75,10
100.0,0.0,37.5,120,0,11,7.0,5
75.29,7.36,0.0,160,2,6,1.75,13
70.18,8.64,25.0,60,2,19,7.0,14
100.0,0.0,37.5,100,0,9,2.75,19
73.77,7.52,25.0,130,1,20,6.0,19
71.34,8.28,25.0,130,2,19,9.25,19
74.5,7.3,25.0,100,2,13,4.0,18
72.35,9.75,25.0,180,2,4,3.0,3
74.03,7.44,25.0,120,1,18,2.5,5
74.48,7.3,25.0,170,2,17,7.0,13
99.78,0.06,0.0,190,0,19,6.0,5
74.05,7.44,25.0,180,2,2,8.0,9
100.0,0.0,37.5,120,0,17,5.75,11
100.0,0.0,37.5,120,0,6,9.25,6
72.14,8.03,25.0,200,2,15,6.25,15
81.43,-16.43,12.5,140,2,1,0.0,17
76.71,6.62,0.0,100,1,16,8.5,10
74.46,7.31,25.0,90,1,20,9.75,6
72.3,7.98,25.0,60,1,11,8.25,10
74.69,7.24,25.0,70,2,6,9.75,13
70.39,8.57,25.0,60,2,8,6.75,19
99.77,0.06,0.0,180,0,7,8.75,16
77.83,6.28,0.0,90,2,8,5.75,15
73.49,7.61,25.0,90,2,17,3.5,18
74.85,7.19,25.0,200,1,2,7.5,17
73.79,7.51,25.0,120,1,9,5.25,2
75.45,8.76,0.0,190,2,2,4.5,4
67.67,10.79,37.5,100,0,1,0.0,8
95.83,1.12,0.0,10,0,6,4.0,2
99.4,0.16,0.0,70,0,11,5.0,11
69.09,18.28,25.0,70,2,3,0.75,19
74.66,7.25,25.0,140,2,4,6.75,13
75.06,7.13,0.0,190,2,9,2.25,7
70.91,8.41,25.0,150,2,16,6.5,11
73.88,4.41,12.5,120,2,4,3.0,12
75.26,7.06,0.0,160,2,14,5.5,19
72.83,7.81,25.0,120,1,4,5.5,15
71.73,8.15,25.0,110,1,7,5.25,18
72.34,7.96,25.0,70,2,13,1.75,14
100.0,0.0,37.5,130,0,6,0.75,9
73.64,7.56,25.0,180,1,13,8.75,5
75.25,7.07,0.0,160,2,3,9.5,1
99.62,0.1,0.0,110,0,4,9.0,3
71.56,8.21,25.0,30,2,12,5.5,5
76.09,7.31,25.0,140,2,2,4.0,2
71.99,8.07,25.0,70,1,12,1.25,16
100.0,0.0,37.5,170,0,20,0.75,19
71.03,8.37,25.0,90,2,20,3.5,19
73.03,7.75,25.0,90,1,5,7.5,10
100.0,0.0,37.5,80,0,17,6.75,3
73.54,7.59,25.0,120,1,14,4.0,10
75.45,7.01,0.0,200,2,9,5.5,12
69.86,10.43,25.0,20,2,3,1.5,7
73.36,7.65,25.0,120,2,12,6.5,10
99.79,0.06,0.0,200,0,16,1.25,3
67.76,9.4,25.0,10,1,5,9.0,4
75.64,9.27,0.0,60,2,2,5.25,3
72.34,7.96,25.0,170,2,12,0.25,17
100.0,0.0,37.5,200,0,6,5.0,3
72.02,8.06,25.0,170,2,13,2.75,9
100.0,0.0,37.5,180,0,1,9.25,5
72.24,7.99,25.0,140,2,9,1.25,6
99.4,0.12,0.0,180,0,5,0.25,14
99.68,0.09,0.0,130,0,8,1.5,6
74.47,7.3,25.0,50,1,19,7.5,5
73.97,7.46,25.0,100,2,12,1.25,11
73.2,7.7,25.0,50,2,13,9.75,17
71.46,8.24,25.0,70,1,1,5.75,10
71.98,8.07,25.0,170,1,8,8.25,9
100.0,0.0,37.5,130,0,15,4.5,1
73.16,7.71,25.0,100,1,20,5.5,14
72.81,7.82,25.0,50,1,5,7.75,6
100.0,0.0,37.5,10,0,18,9.5,4
75.22,7.08,0.0,10,1,15,6.25,10
100.0,0.0,37.5,20,0,5,8.5,19
73.03,7.75,25.0,10,1,15,10.0,12
100.0,0.0,37.5,100,0,19,5.75,18
73.72,7.54,25.0,60,1,18,10.0,8
75.38,7.03,0.0,70,2,10,1.0,10
100.0,0.0,37.5,70,0,17,2.0,17
73.46,7.61,25.0,140,1,2,9.5,3
100.0,0.0,37.5,140,0,5,7.25,15
74.01,7.45,25.0,60,1,14,8.25,12
100.0,0.0,37.5,140,0,2,8.5,4
100.0,0.0,37.5,120,0,18,3.25,11
74.18,7.95,25.0,140,1,2,1.25,9
75.19,7.09,0.0,140,2,9,1.75,13
72.86,7.8,25.0,190,2,13,8.75,4
71.38,8.26,25.0,60,1,20,1.75,17
100.0,0.0,37.5,160,0,3,2.25,16
69.61,8.82,25.0,50,2,20,0.75,19
73.92,7.48,25.0,180,2,13,5.75,4
75.8,6.9,0.0,170,1,18,8.5,11
72.82,7.82,25.0,200,1,1,9.75,13
74.1,7.42,25.0,90,2,13,9.5,20
100.0,0.0,37.5,60,0,12,8.75,3
76.32,6.74,0.0,10,1,10,6.5,11
76.64,6.64,0.0,40,2,6,7.5,1
83.77,4.52,0.0,10,2,17,6.0,5
100.0,0.0,37.5,160,0,5,5.0,2
100.0,0.0,37.5,20,0,20,9.5,13
71.39,8.26,25.0,10,2,3,5.25,1
72.15,8.02,25.0,110,2,16,2.25,16
75.77,6.91,0.0,100,1,10,3.0,15
68.92,18.35,12.5,90,1,2,0.0,12
100.0,0.0,37.5,180,0,19,2.0,3
100.0,0.0,37.5,20,0,4,3.5,18
77.63,6.34,0.0,10,1,14,8.25,15
73.53,7.6,25.0,180,1,13,2.5,18
100.0,0.0,37.5,110,0,20,10.0,18
100.0,0.0,37.5,10,0,14,9.0,14
100.0,0.0,37.5,130,0,8,1.25,1
71.88,8.11,25.0,90,2,20,1.0,7
72.52,7.91,25.0,200,2,9,8.5,14
100.0,0.0,37.5,180,0,3,1.25,4
99.72,0.07,0.0,150,0,7,9.0,13
76.32,6.74,0.0,10,2,5,9.0,11
72.49,7.92,25.0,70,2,6,9.25,18
75.35,7.04,0.0,170,1,3,2.5,3
77.44,8.13,0.0,80,2,2,4.5,1
70.18,8.64,25.0,30,2,18,0.75,11
75.54,6.98,0.0,90,1,2,1.75,18
71.38,8.26,25.0,20,1,4,1.5,17
74.78,7.21,25.0,50,2,9,0.75,20
72.37,7.95,25.0,160,2,20,4.25,15
73.17,7.71,25.0,110,1,20,2.25,4
100.0,0.0,37.5,40,0,7,7.0,18
71.07,8.36,25.0,170,1,1,3.0,16
69.81,8.76,25.0,60,2,19,7.5,15
66.69,4.33,25.0,130,2,4,0.25,5
100.0,0.0,37.5,200,0,3,6.5,9
100.0,0.0,37.5,50,0,1,9.75,13
74.23,7.38,25.0,60,1,4,6.5,1
100.0,0.0,37.5,130,0,16,5.25,19
73.3,7.67,25.0,120,2,4,5.5,8
73.23,7.69,25.0,180,1,3,8.0,7
75.02,7.88,25.0,200,2,2,5.75,3
73.78,7.52,25.0,140,2,17,6.5,2
73.32,7.66,25.0,150,2,18,7.75,1
99.54,0.12,0.0,90,0,19,4.0,8
75.68,6.94,0.0,120,2,20,9.75,2
72.16,8.02,25.0,150,1,14,8.75,3
100.0,0.0,37.5,120,0,17,8.75,2
77.52,6.38,0.0,20,1,17,2.75,7
100.0,0.0,37.5,120,0,14,3.5,4
73.46,7.61,25.0,20,1,16,9.25,20
79.5,5.78,0.0,40,2,9,2.5,20
69.78,8.76,25.0,50,2,18,0.5,8
99.44,0.15,0.0,150,0,17,7.25,15
100.0,0.0,37.5,10,0,12,7.5,8
73.29,7.67,25.0,150,1,6,5.0,7
73.28,7.67,25.0,120,1,4,8.25,1
100.0,0.0,37.5,140,0,20,0.0,12
74.39,7.33,25.0,50,1,15,4.25,5
74.42,7.32,25.0,60,1,5,2.25,5
74.12,7.41,25.0,100,2,14,4.75,16
99.72,0.07,0.0,150,0,15,4.5,2
99.78,0.06,0.0,190,0,17,5.25,4
100.0,0.0,37.5,190,0,6,5.5,11
71.6,8.19,25.0,40,1,19,6.0,12
75.44,7.01,0.0,80,1,17,9.0,15
100.0,0.0,37.5,140,0,11,7.0,9
99.4,0.16,0.0,70,0,18,7.5,12
100.0,0.0,37.5,110,0,2,6.75,7
74.28,7.36,25.0,110,2,9,4.75,6
75.42,7.01,0.0,150,1,9,3.25,16
75.51,6.99,0.0,90,1,13,9.25,3
100.0,0.0,37.5,20,0,16,10.0,4
100.0,0.0,37.5,120,0,16,9.5,19
71.13,8.34,25.0,170,1,3,8.25,15
100.0,0.0,37.5,30,0,14,0.75,20
73.54,7.59,25.0,110,2,8,8.0,14
73.88,7.49,25.0,110,1,9,3.5,20
73.77,7.52,25.0,130,2,13,0.0,6
75.81,6.89,0.0,170,1,8,7.5,16
74.11,7.42,25.0,160,2,11,6.75,19
100.0,0.0,37.5,130,0,6,6.75,7
77.61,6.35,0.0,100,1,5,1.75,3
73.27,7.67,25.0,80,1,14,2.75,11
74.54,7.28,25.0,110,2,9,4.25,18
75.3,7.05,0.0,160,2,14,6.75,15
73.3,7.67,25.0,130,2,12,1.5,8
74.35,7.34,25.0,180,2,8,1.5,20
99.44,0.15,0.0,150,0,18,8.5,19
100.0,0.0,37.5,20,0,18,4.0,8
72.62,7.88,25.0,80,1,10,0.5,19
75.05,7.13,0.0,80,1,7,9.75,13
100.0,0.0,37.5,200,0,17,8.0,20
73.84,7.5,25.0,170,1,11,7.75,16
72.03,8.06,25.0,160,1,7,7.75,6
75.69,6.93,0.0,190,2,8,4.25,4
100.0,0.0,37.5,40,0,20,8.5,12
100.0,0.0,37.5,200,0,13,8.25,14
73.31,7.66,25.0,130,1,13,7.25,11
74.14,7.41,25.0,150,2,20,4.75,13
76.86,6.58,0.0,40,2,13,5.5,19
75.96,6.85,0.0,80,2,12,8.5,15
66.45,9.83,25.0,20,1,5,7.0,11
99.74,0.07,0.0,160,0,18,8.5,4
72.84,7.81,25.0,150,2,14,2.75,3
100.0,0.0,37.5,80,0,6,1.25,6
72.61,7.88,25.0,170,2,14,4.0,18
70.38,9.99,25.0,170,2,3,3.5,15
73.85,7.5,25.0,170,1,17,9.0,17
99.31,0.19,0.0,120,0,10,1.0,11
75.73,6.92,0.0,130,1,9,2.25,4
99.77,0.06,0.0,180,0,12,2.5,1
73.09,7.73,25.0,70,1,9,2.25,18
100.0,0.0,37.5,130,0,8,5.0,5
78.89,5.96,0.0,40,1,4,6.0,14
63.16,10.89,25.0,20,1,11,2.0,5
99.54,0.12,0.0,180,0,14,1.25,5
73.77,7.52,25.0,50,1,16,1.0,17
100.0,0.0,37.5,80,0,8,0.5,20
70.34,8.59,25.0,40,2,9,0.25,4
72.95,7.77,25.0,30,2,6,5.75,5
76.15,6.79,0.0,160,2,13,2.0,7
73.72,7.54,25.0,190,1,7,1.75,15
95.83,0.17,0.0,170,0,6,0.0,1
72.47,7.92,25.0,130,1,13,4.0,17
66.89,9.69,25.0,20,2,8,0.0,17
74.74,7.22,25.0,160,1,14,3.0,17
72.84,7.81,25.0,70,2,17,8.0,19
71.39,8.26,25.0,150,2,8,2.25,1
73.9,7.48,25.0,90,1,11,10.0,12
77.35,8.62,0.0,90,1,2,1.25,14
74.27,7.37,25.0,30,2,5,9.75,10
72.53,7.9,25.0,120,1,18,0.25,1
100.0,0.0,37.5,10,0,11,0.5,16
69.3,8.92,25.0,150,1,10,4.0,9
100.0,0.0,37.5,180,0,4,10.0,9
71.73,8.15,25.0,150,1,4,3.5,7
100.0,0.0,37.5,90,0,17,8.75,4
75.36,7.03,0.0,110,1,7,8.25,13
100.0,0.0,37.5,140,0,4,8.75,7
100.0,0.0,37.5,150,0,18,3.25,2
76.32,6.74,0.0,10,1,12,8.5,19
100.0,0.0,37.5,190,0,16,4.75,14
73.27,7.67,25.0,80,1,18,6.0,1
99.62,0.1,0.0,110,0,6,3.75,17
99.78,0.06,0.0,190,0,7,9.25,14
73.8,7.51,25.0,200,1,4,10.0,11
74.22,7.38,25.0,200,2,3,6.25,2
71.76,8.14,25.0,170,2,5,7.25,16
100.0,0.0,37.5,150,0,12,3.0,1
73.48,7.61,25.0,160,1,15,2.25,9
100.0,0.0,37.5,80,0,15,5.5,3
72.11,6.51,25.0,160,2,6,1.25,5
77.61,9.52,0.0,180,2,3,2.0,16
75.83,6.89,0.0,100,2,9,5.75,14
100.0,0.0,37.5,30,0,4,6.0,17
75.03,7.13,0.0,80,1,10,3.25,3
100.0,0.0,37.5,20,0,16,9.0,7
100.0,0.0,37.5,30,0,4,6.5,11
100.0,0.0,37.5,120,0,1,2.75,9
77.28,6.45,0.0,100,1,9,8.75,8
91.28,0.81,0.0,120,0,5,0.0,14
66.67,9.76,25.0,10,1,7,8.25,4
75.44,7.01,0.0,20,2,13,3.0,16
100.0,0.0,37.5,170,0,16,7.25,6
73.88,7.49,25.0,190,2,19,3.25,20
73.25,7.68,25.0,140,2,2,9.0,5
99.68,0.09,0.0,130,0,19,9.0,1
71.29,8.29,25.0,110,1,9,4.0,9
75.1,7.11,0.0,200,2,10,6.0,9
70.36,8.58,25.0,60,1,13,9.25,3
75.88,6.88,0.0,60,1,15,2.75,17
73.46,7.61,25.0,180,2,18,7.25,8
100.0,0.0,37.5,30,0,15,7.25,9
100.0,0.0,37.5,30,0,13,9.0,6
72.19,8.01,25.0,160,2,10,1.75,19
73.95,7.47,25.0,190,2,12,9.0,15
100.0,0.0,37.5,200,0,15,7.0,16
74.34,7.34,25.0,90,1,20,1.5,12
75.26,7.06,0.0,180,2,9,4.5,3
100.0,0.0,37.5,90,0,11,2.5,8
78.55,6.07,0.0,50,1,6,4.75,8
79.61,5.75,0.0,30,2,9,8.75,5
99.74,0.07,0.0,160,0,7,5.5,19
99.62,0.1,0.0,110,0,12,7.0,18
72.56,7.9,25.0,140,2,18,0.25,17
100.0,0.0,37.5,60,0,7,10.0,6
69.3,8.92,25.0,10,2,8,7.5,2
72.04,8.06,25.0,180,1,3,3.0,17
72.25,7.99,25.0,190,2,19,4.5,1
76.8,6.59,0.0,130,1,14,5.0,16
100.0,0.0,37.5,40,0,12,3.0,13
74.93,7.17,25.0,90,1,6,8.0,16
100.0,0.0,37.5,130,0,2,3.0,1
71.25,8.3,25.0,120,2,5,7.75,4
75.74,6.92,0.0,130,2,12,2.0,15
76.86,6.58,0.0,60,1,9,0.75,19
74.62,7.26,25.0,140,2,8,4.0,11
98.61,0.37,0.0,30,0,6,1.25,5
99.68,0.09,0.0,130,0,9,7.75,20
73.25,7.68,25.0,10,2,4,4.5,17
99.54,0.12,0.0,90,0,3,6.5,1
70.83,8.43,25.0,10,1,14,5.75,4
100.0,0.0,37.5,70,0,5,6.75,16
100.0,0.0,37.5,10,0,11,5.5,9
67.42,4.79,25.0,130,2,5,0.0,14
75.38,7.16,25.0,180,1,6,0.0,1
77.62,11.82,0.0,70,2,1,4.25,4
71.36,8.27,25.0,150,1,20,10.0,7
100.0,0.0,37.5,30,0,20,5.75,6
74.17,7.4,25.0,50,1,1,2.25,3
75.91,6.86,0.0,130,2,10,3.25,9
73.22,7.69,25.0,190,2,18,6.0,14
99.31,0.19,0.0,60,0,6,3.25,13
100.0,0.0,37.5,110,0,17,9.75,17
75.93,6.86,0.0,40,2,8,0.75,5
76.44,6.7,0.0,70,2,9,4.25,14
74.13,6.69,25.0,50,1,5,0.75,16
68.42,9.2,25.0,10,1,18,10.0,18
100.0,0.0,37.5,30,0,9,3.75,10
72.82,7.81,25.0,150,2,9,8.25,18
74.04,7.44,25.0,190,1,4,4.25,6
72.95,7.77,25.0,30,2,12,7.75,9
100.0,0.0,37.5,190,0,14,4.5,17
76.59,12.44,0.0,140,2,1,4.5,17
100.0,0.0,37.5,50,0,3,6.25,17
75.11,7.11,0.0,20,2,5,7.0,8
71.0,8.38,25.0,40,2,5,9.25,7
77.1,8.07,0.0,60,2,1,4.0,20
99.4,0.16,0.0,140,0,6,7.0,14
76.21,6.77,0.0,60,1,5,9.5,18
73.32,7.66,25.0,170,1,3,2.5,20
76.25,19.63,37.5,90,2,1,0.75,19
68.99,9.01,25.0,50,2,10,7.75,9
72.66,7.87,25.0,130,1,11,0.0,16
73.77,7.52,25.0,180,1,6,1.25,9
70.91,8.41,25.0,30,2,19,6.25,8
70.19,8.28,25.0,100,2,6,1.5,9
75.24,7.07,0.0,200,2,10,4.75,5
75.37,7.03,0.0,120,1,12,2.0,7
99.72,0.07,0.0,150,0,14,4.75,6
100.0,0.0,37.5,100,0,3,1.25,3
100.0,0.0,37.5,170,0,15,8.75,14
100.0,0.0,37.5,70,0,17,4.25,9
100.0,0.0,37.5,40,0,13,6.5,13
99.78,0.06,0.0,190,0,1,4.5,5
73.84,7.5,25.0,180,2,8,2.75,8
100.0,0.0,37.5,10,0,11,0.0,20
75.5,6.99,0.0,70,2,16,0.0,18
74.95,6.86,25.0,40,2,5,1.75,7
75.07,7.12,0.0,90,1,9,9.75,17
100.0,0.0,37.5,80,0,18,6.5,5
100.0,0.0,37.5,90,0,15,1.75,19
74.99,7.15,25.0,170,2,10,4.25,18
73.0,9.23,25.0,50,2,4,2.0,18
100.0,0.0,37.5,190,0,11,6.5,16
100.0,0.0,37.5,190,0,15,0.5,20
69.5,7.18,25.0,20,1,3,0.5,5
100.0,0.0,37.5,110,0,9,2.0,2
99.62,0.1,0.0,110,0,1,6.0,15
69.17,8.96,25.0,50,2,20,7.5,2
99.7,0.08,0.0,140,0,1,6.75,16
74.16,7.4,25.0,60,1,14,8.5,5
99.58,0.11,0.0,100,0,15,5.0,11
72.59,7.89,25.0,70,1,15,5.25,6
73.4,7.63,25.0,180,1,16,9.25,5
74.01,7.45,25.0,180,2,7,10.0,10
73.33,7.66,25.0,180,1,15,0.75,18
74.7,7.24,25.0,160,1,14,0.5,3
100.0,0.0,37.5,200,0,1,10.0,15
73.71,6.8,25.0,190,0,3,0.0,3
79.17,5.88,0.0,30,1,17,6.25,8
100.0,0.0,37.5,150,0,8,8.5,8
75.07,7.12,0.0,60,2,15,2.0,4
100.0,0.0,37.5,10,0,16,3.25,9
72.83,7.81,25.0,110,2,20,7.0,7
100.0,0.0,37.5,30,0,3,3.75,12
100.0,0.0,37.5,170,0,10,5.5,12
99.58,0.11,0.0,100,0,3,7.75,3
100.0,0.0,37.5,180,0,2,6.0,3
75.88,6.87,0.0,40,1,18,1.75,20
99.75,0.07,0.0,170,0,17,8.25,4
71.61,8.19,25.0,110,2,12,9.25,9
73.37,7.64,25.0,70,1,15,7.75,11
73.66,7.55,25.0,100,2,14,10.0,4
100.0,0.0,37.5,30,0,12,2.0,2
72.0,8.07,25.0,60,2,8,3.5,11
100.0,0.0,37.5,20,0,18,0.75,11
71.0,8.38,25.0,120,1,4,7.75,2
73.94,7.47,25.0,130,1,8,9.25,5
73.64,7.56,25.0,150,1,9,5.75,8
77.69,6.33,0.0,40,1,9,5.75,13
74.8,7.2,25.0,100,2,5,9.25,16
75.85,6.88,0.0,90,2,20,4.25,4
72.81,7.82,25.0,20,1,11,6.5,14
72.2,8.01,25.0,180,2,11,2.0,3
71.89,8.1,25.0,50,2,19,5.25,17
72.81,7.82,25.0,100,2,3,5.75,5
99.7,0.08,0.0,140,0,19,7.5,14
75.71,6.93,0.0,90,2,6,9.25,17
73.94,7.47,25.0,130,1,2,8.75,11
100.0,0.0,37.5,110,0,5,6.25,8
74.61,7.26,25.0,200,1,9,3.0,3
75.22,7.08,0.0,60,2,4,6.25,5
74.63,7.25,25.0,120,1,10,8.75,18
73.74,7.53,25.0,170,2,3,8.75,10
100.0,0.0,37.5,140,0,20,3.0,5
100.0,0.0,37.5,100,0,12,2.5,14
100.0,0.0,37.5,30,0,20,0.25,6
100.0,0.0,37.5,100,0,2,9.75,11
72.05,8.05,25.0,90,1,18,10.0,13
74.68,7.24,25.0,110,2,16,3.75,14
70.21,21.13,37.5,30,2,2,0.5,13
76.42,6.71,0.0,110,1,11,5.25,17
74.23,7.38,25.0,160,1,18,7.25,13
76.54,6.67,0.0,20,2,17,2.25,12
73.36,7.65,25.0,40,1,10,5.0,5
